,Age,Gender,Occupation,Device_Type,Work_Productivity_Score,Weekend_Screen_Time_Hours,Daily_Phone_Hours,Sleep_Hours,Social_Media_Hours,Stress_Level,Caffeine_Intake_Cups
0,22,Male,Student,iOS,6,4.0,4.0,7.0,1.5,7,3
1,23,Female,Student,iOS,9,2.5,2.0,7.0,0.5,2,0
2,23,Female,Student;Professional,iOS,6,6.0,4.0,7.5,3.0,4,3
3,23,Male,Student,iOS,6,4.5,3.0,8.0,2.0,5,1
4,24,Female,Student,iOS,10,9.0,7.0,6.5,5.0,7,0
5,22,Female,Student,iOS,5,4.0,3.0,6.5,2.0,7,0
6,22,Female,Student,iOS,4,5.0,4.5,8.5,3.5,6,1
7,26,Female,Student,iOS,7,5.0,3.0,8.0,4.0,5,1
8,29,Female,Student,iOS,8,6.5,8.0,7.0,7.0,10,2
9,21,Female,Student,iOS,8,6.0,6.0,8.5,4.5,6,0
10,22,Female,Student,iOS,6,5.0,3.5,9.0,2.0,8,2
11,26,Male,Student,iOS,6,7.0,6.5,3.0,3.0,6,0
12,29,Female,Student,iOS,8,7.0,7.0,8.0,1.0,7,2
13,33,Male,Student,iOS,6,12.0,11.0,6.0,2.0,6,5
14,22,Male,Student,iOS,7,9.0,12.0,10.0,4.5,8,1
15,26,Female,Student,iOS,6,10.0,10.5,7.0,2.5,9,1
16,24,Male,Student,iOS,7,7.0,6.5,8.0,3.0,8,1
17,23,Female,Student,iOS,4,7.0,5.5,9.0,5.0,2,3
18,45,Female,Student,Android,10,6.0,6.0,9.0,1.0,10,3
19,22,Male,Student,iOS,8,7.0,7.5,7.0,3.0,9,6
20,30,Female,Student,iOS,8,8.0,8.5,8.0,3.5,10,2
21,34,Male,Student,iOS,10,2.0,1.5,7.0,0.5,1,1
22,24,Male,Student,iOS,9,6.0,5.0,8.0,1.0,8,0
23,26,Male,Student,iOS,9,8.0,8.5,5.0,6.0,8,1
24,22,Female,Student,iOS,4,3.0,2.0,7.0,3.0,10,3
25,22,Female,Student;Professional,iOS,8,10.0,7.5,6.0,7.5,6,0
26,21,Female,Student,iOS,6,2.5,4.5,9.5,0.5,1,1
27,25,Female,Student,iOS,9,3.5,3.0,6.5,0.5,7,0
28,22,Female,Student;Professional,iOS,5,6.0,5.0,6.0,4.0,6,0
29,24,Female,Student,iOS,6,4.0,6.5,7.0,1.0,6,1
30,23,Male,Student,iOS,7,6.0,5.0,7.0,3.0,6,1
31,31,Female,Student,iOS,5,2.5,3.0,8.0,1.0,7,1
32,24,Male,Student,iOS,7,8.0,7.0,6.5,3.5,7,1
33,33,Female,Student,Android,6,7.5,4.5,7.0,2.0,8,2
34,25,Male,Student,iOS,1,13.5,13.0,7.0,1.0,10,0
35,28,Male,Student,iOS,6,6.0,8.0,6.0,2.0,7,1
36,22,Female,Student,iOS,6,6.0,2.5,8.0,3.5,7,1
37,23,Female,Student,iOS,5,3.0,3.5,4.0,3.5,5,5
38,29,Female,Student,iOS,6,3.0,6.0,9.0,2.0,8,3
39,29,Female,Student,iOS,6,8.0,6.0,7.0,1.5,7,1
40,23,Male,Student,Android,8,13.5,9.0,5.5,3.0,9,10
41,23,Female,Student,iOS,6,9.0,9.0,7.0,3.5,7,0
42,25,Female,Student,iOS,5,9.0,8.0,2.5,11.0,4,2
43,25,Female,Student,iOS,9,4.0,1.5,8.0,1.5,7,0
44,31,Female,Student,iOS,6,9.0,6.0,5.0,5.0,10,5
45,23,Male,Student,iOS,8,8.0,10.0,8.0,2.0,7,1
46,32,Female,Student,iOS,8,5.0,3.0,8.5,1.5,6,1
47,33,Male,Student,iOS,5,7.0,7.0,7.0,1.0,5,1
48,21,Female,Student,iOS,7,12.0,12.0,7.0,4.0,4,0
49,33,Female,Professional,iOS,7,10.0,9.0,6.5,5.0,9,3
50,28,Male,Student,iOS,10,8.0,6.0,7.0,5.0,6,1
51,19,Male,Student,iOS,4,4.5,5.0,6.0,3.0,8,0
52,22,Male,Student,iOS,8,2.0,2.5,6.0,1.0,5,3
53,18,Male,Student,iOS,9,3.5,4.5,8.0,1.0,8,3
54,25,Male,Student,iOS,8,3.0,3.5,8.0,1.0,5,3
55,21,Male,Student,iOS,5,5.0,6.0,7.0,3.0,2,1
56,22,Male,Student,iOS,6,6.5,5.5,8.0,4.0,6,2
57,18,Male,Student,iOS,5,4.5,6.0,7.5,3.0,5,0
58,19,Male,Student,iOS,6,3.5,4.5,7.5,2.5,1,1
59,20,Male,Student,iOS,3,5.5,5.5,7.5,2.5,6,1
60,21,Male,Student,iOS,8,2.5,2.5,7.5,0.5,5,0
