,Age,Gender,Occupation,Device_Type,Work_Productivity_Score,Weekend_Screen_Time_Hours,Daily_Phone_Hours,Sleep_Hours,Social_Media_Hours,Stress_Level,Caffeine_Intake_Cups
0,22,Male,Student,iOS,6,4.0,4.0,7.0,1.5,high,3
1,23,Female,Student,iOS,9,2.5,2.0,7.0,0.5,low,0
2,23,Female,Student;Professional,iOS,6,6.0,4.0,7.5,3.0,moderate,3
3,23,Male,Student,iOS,6,4.5,3.0,8.0,2.0,moderate,1
4,24,Female,Student,iOS,10,9.0,7.0,6.5,5.0,high,0
5,22,Female,Student,iOS,5,4.0,3.0,6.5,2.0,high,0
6,22,Female,Student,iOS,4,5.0,4.5,8.5,3.5,moderate,1
7,26,Female,Student,iOS,7,5.0,3.0,8.0,4.0,moderate,1
8,29,Female,Student,iOS,8,6.5,8.0,7.0,7.0,high,2
9,21,Female,Student,iOS,8,6.0,6.0,8.5,4.5,moderate,0
10,22,Female,Student,iOS,6,5.0,3.5,9.0,2.0,high,2
11,29,Female,Student,iOS,8,7.0,7.0,8.0,1.0,high,2
12,33,Male,Student,iOS,6,12.0,11.0,6.0,2.0,moderate,5
13,22,Male,Student,iOS,7,9.0,12.0,10.0,4.5,high,1
14,26,Female,Student,iOS,6,10.0,10.5,7.0,2.5,high,1
15,24,Male,Student,iOS,7,7.0,6.5,8.0,3.0,high,1
16,23,Female,Student,iOS,4,7.0,5.5,9.0,5.0,low,3
17,22,Male,Student,iOS,8,7.0,7.5,7.0,3.0,high,6
18,30,Female,Student,iOS,8,8.0,8.5,8.0,3.5,high,2
19,34,Male,Student,iOS,10,2.0,1.5,7.0,0.5,low,1
20,24,Male,Student,iOS,9,6.0,5.0,8.0,1.0,high,0
21,26,Male,Student,iOS,9,8.0,8.5,5.0,6.0,high,1
22,22,Female,Student,iOS,4,3.0,2.0,7.0,3.0,high,3
23,22,Female,Student;Professional,iOS,8,10.0,7.5,6.0,7.5,moderate,0
24,21,Female,Student,iOS,6,2.5,4.5,9.5,0.5,low,1
25,25,Female,Student,iOS,9,3.5,3.0,6.5,0.5,high,0
26,22,Female,Student;Professional,iOS,5,6.0,5.0,6.0,4.0,moderate,0
27,24,Female,Student,iOS,6,4.0,6.5,7.0,1.0,moderate,1
28,23,Male,Student,iOS,7,6.0,5.0,7.0,3.0,moderate,1
29,31,Female,Student,iOS,5,2.5,3.0,8.0,1.0,high,1
30,24,Male,Student,iOS,7,8.0,7.0,6.5,3.5,high,1
31,33,Female,Student,Android,6,7.5,4.5,7.0,2.0,high,2
32,28,Male,Student,iOS,6,6.0,8.0,6.0,2.0,high,1
33,22,Female,Student,iOS,6,6.0,2.5,8.0,3.5,high,1
34,23,Female,Student,iOS,5,3.0,3.5,4.0,3.5,moderate,5
35,29,Female,Student,iOS,6,3.0,6.0,9.0,2.0,high,3
36,29,Female,Student,iOS,6,8.0,6.0,7.0,1.5,high,1
37,23,Female,Student,iOS,6,9.0,9.0,7.0,3.5,high,0
38,25,Female,Student,iOS,9,4.0,1.5,8.0,1.5,high,0
39,31,Female,Student,iOS,6,9.0,6.0,5.0,5.0,high,5
40,23,Male,Student,iOS,8,8.0,10.0,8.0,2.0,high,1
41,32,Female,Student,iOS,8,5.0,3.0,8.5,1.5,moderate,1
42,33,Male,Student,iOS,5,7.0,7.0,7.0,1.0,moderate,1
43,21,Female,Student,iOS,7,12.0,12.0,7.0,4.0,moderate,0
44,33,Female,Professional,iOS,7,10.0,9.0,6.5,5.0,high,3
45,28,Male,Student,iOS,10,8.0,6.0,7.0,5.0,moderate,1
46,19,Male,Student,iOS,4,4.5,5.0,6.0,3.0,high,0
47,22,Male,Student,iOS,8,2.0,2.5,6.0,1.0,moderate,3
48,18,Male,Student,iOS,9,3.5,4.5,8.0,1.0,high,3
49,25,Male,Student,iOS,8,3.0,3.5,8.0,1.0,moderate,3
50,21,Male,Student,iOS,5,5.0,6.0,7.0,3.0,low,1
51,22,Male,Student,iOS,6,6.5,5.5,8.0,4.0,moderate,2
52,18,Male,Student,iOS,5,4.5,6.0,7.5,3.0,moderate,0
53,19,Male,Student,iOS,6,3.5,4.5,7.5,2.5,low,1
54,20,Male,Student,iOS,3,5.5,5.5,7.5,2.5,moderate,1
55,21,Male,Student,iOS,8,2.5,2.5,7.5,0.5,moderate,0
