"Timestamp","What is your age?","What is your gender?","Occupation","Device Type","Rate your weekly work productivity score on a scale of 0-10. ","To the nearest half hour, what is your average daily screen time during the weekends?","To the nearest half hour, what is your average daily screen time?","To the nearest half hour, how much sleep do you get a night?","To the nearest half hour, on average, how much time do you spend on social media a day?","What is your stress level on a scale of 0 -10? ","How many cups of caffeinated beverages (coffee, energy drinks, etc.) do you drink per day? "
"2026/02/24 5:26:16 PM PST","22","Male","Student","iOS","6","4 hours","4 hours","7 hours","1.5 hours","7","3"
"2026/02/24 5:27:12 PM PST","23","Female","Student","iOS","9","2.5 hours","2 hours","7 hours","0.5 hours","2","0"
"2026/02/24 5:28:57 PM PST","23","Female","Student;Professional","iOS","6","6 hours","4 hours","7.5 hours","3 hours","4","3"
"2026/02/24 5:29:19 PM PST","23","Male","Student","iOS","6","4.5 hours","3 hours","8 hours","2 hours","5","1"
"2026/02/25 2:44:22 PM PST","24","Female","Student","iOS","10","9 hours","7 hours","6.5 hours","5 hours","7","0"
"2026/02/25 6:36:25 PM PST","22","Female","Student","iOS","5","4 hours","3 hours","6.5 hours","2 hours","7","0"
"2026/02/26 4:21:24 AM PST","22","Female","Student","iOS","4","5 hours","4.5 hours","8.5 hours","3.5 hours","6","1"
"2026/02/26 6:40:58 PM PST","26","Female","Student","iOS","7","5 hours","3 hours","8 hours","4 hours","5","1"
"2026/02/26 6:40:59 PM PST","29","Female","Student","iOS","8","6.5 hours","8 hours","7 hours","7 hours","10","2"
"2026/02/26 6:41:02 PM PST","21","Female","Student","iOS","8","6 hours","6 hours","8.5 hours","4.5 hours","6","0"
"2026/02/26 6:41:04 PM PST","22","Female","Student","iOS","6","5 hours","3.5 hours","9 hours","2 hours","8","2"
"2026/02/26 6:41:10 PM PST","26","Male","Student","iOS","6","7 hours","6.5 hours","3 hours","3 hours","6","0"
"2026/02/26 6:41:13 PM PST","29","Female","Student","iOS","8","7 hours","7 hours","8 hours","1 hour","7","2"
"2026/02/26 6:41:15 PM PST","33","Male","Student","iOS","6","12 hours","11 hours","6 hours","2 hours","6","5"
"2026/02/26 6:41:19 PM PST","22","Male","Student","iOS","7","9 hours","12 hours","10 hours","4.5 hours","8","1"
"2026/02/26 6:41:20 PM PST","26","Female","Student","iOS","6","10 hours","10.5 hours","7 hours","2.5 hours","9","1"
"2026/02/26 6:41:23 PM PST","24","Male","Student","iOS","7","7 hours","6.5 hours","8 hours","3 hours","8","1"
"2026/02/26 6:41:25 PM PST","23","Female","Student","iOS","4","7 hours","5.5 hours","9 hours","5 hours","2","3"
"2026/02/26 6:41:26 PM PST","45","Female","Student","Android","10","6 hours","6 hours","9 hours","1 hour","10","3"
"2026/02/26 6:41:33 PM PST","22","Male","Student","iOS","8","7 hours","7.5 hours","7 hours","3 hours","9","6"
"2026/02/26 6:41:34 PM PST","30","Female","Student","iOS","8","8 hours","8.5 hours","8 hours","3.5 hours","10","2"
